Medicao,Dia,Consumo_kWh,Mes,Tipo,MesOrdem
Consumo ativo Fora de Ponta,2026-01-22,35840.559,Jan,Real (pos-carga),2
Consumo ativo de Ponta,2026-01-22,6920.388,Jan,Real (pos-carga),2
Consumo ativo Fora de Ponta,2026-01-23,38622.638,Jan,Real (pos-carga),2
Consumo ativo de Ponta,2026-01-23,6024.948,Jan,Real (pos-carga),2
Consumo ativo Fora de Ponta,2026-01-24,43358.064,Jan,Real (pos-carga),2
Consumo ativo Fora de Ponta,2026-01-25,40798.227,Jan,Real (pos-carga),2
Consumo ativo Fora de Ponta,2026-01-26,37187.438,Jan,Real (pos-carga),2
Consumo ativo de Ponta,2026-01-26,5709.948,Jan,Real (pos-carga),2
Consumo ativo Fora de Ponta,2026-01-27,35340.88,Jan,Real (pos-carga),2
Consumo ativo de Ponta,2026-01-27,5237.028,Jan,Real (pos-carga),2
Consumo ativo Fora de Ponta,2026-01-28,34788.159999999996,Jan,Real (pos-carga),2
Consumo ativo de Ponta,2026-01-28,5326.068,Jan,Real (pos-carga),2
Consumo ativo Fora de Ponta,2026-01-29,35302.72,Jan,Real (pos-carga),2
Consumo ativo de Ponta,2026-01-29,5466.948,Jan,Real (pos-carga),2
Consumo ativo Fora de Ponta,2026-01-30,35188.359,Jan,Real (pos-carga),2
Consumo ativo de Ponta,2026-01-30,5917.428,Jan,Real (pos-carga),2
Consumo ativo Fora de Ponta,2026-01-31,42198.268,Jan,Real (pos-carga),2
Consumo ativo Fora de Ponta,2026-02-01,201.48,Jan,Real (pos-carga),2
Consumo ativo Fora de Ponta,2025-02-01,42552.614975441094,Fev,Ajustado (delta),3
Consumo ativo Fora de Ponta,2025-02-02,39639.73802553672,Fev,Ajustado (delta),3
Consumo ativo Fora de Ponta,2025-02-03,35176.84811137433,Fev,Ajustado (delta),3
Consumo ativo de Ponta,2025-02-03,5680.719661374814,Fev,Ajustado (delta),3
Consumo ativo Fora de Ponta,2025-02-04,36741.83154231294,Fev,Ajustado (delta),3
Consumo ativo de Ponta,2025-02-04,5676.565655649063,Fev,Ajustado (delta),3
Consumo ativo Fora de Ponta,2025-02-05,36007.471004042156,Fev,Ajustado (delta),3
Consumo ativo de Ponta,2025-02-05,6208.407119451729,Fev,Ajustado (delta),3
Consumo ativo Fora de Ponta,2025-02-06,38656.71185925235,Fev,Ajustado (delta),3
Consumo ativo de Ponta,2025-02-06,5805.988896541976,Fev,Ajustado (delta),3
Consumo ativo Fora de Ponta,2025-02-07,37275.43186459838,Fev,Ajustado (delta),3
Consumo ativo de Ponta,2025-02-07,6715.702569523518,Fev,Ajustado (delta),3
Consumo ativo Fora de Ponta,2025-02-08,43452.09568561876,Fev,Ajustado (delta),3
Consumo ativo Fora de Ponta,2025-02-09,39511.75874444972,Fev,Ajustado (delta),3
