dia,mes,tipo,dow,has_ponta,has_overflow,cons_hp_total,cons_hp_residual,cons_fp_total,cons_fp_net,dem_hp_max,dem_fp_max,dem_hp_resid,solar_saving,bess_charge_kwh,bess_dead
2025-07-26,Jul,Ajustado,Saturday,False,False,0.00,0.00,35767.34,32616.25,0.00,2684.18,0.00,8510.36,5359.28,False
2025-07-27,Jul,Ajustado,Sunday,False,False,0.00,0.00,38116.24,32875.59,0.00,2215.38,0.00,5240.65,0.00,False
2025-07-28,Jul,Ajustado,Monday,True,True,5691.29,274.53,35137.04,27365.24,1966.48,2263.76,98.32,7771.80,0.00,False
2025-07-29,Jul,Ajustado,Tuesday,True,True,6214.05,302.05,35248.55,30746.46,2284.13,2433.92,114.21,9918.84,5416.76,False
2025-07-30,Jul,Ajustado,Wednesday,True,True,5768.25,278.24,36604.05,32782.57,1942.44,2455.73,97.12,9733.48,5912.00,False
2025-07-31,Jul,Ajustado,Thursday,True,True,5822.16,281.30,35523.61,31291.84,2239.68,2373.16,111.98,9721.78,5490.01,False
2025-08-01,Jul,Ajustado,Friday,True,True,6128.62,297.47,36129.23,32924.37,2288.87,2420.94,114.44,8745.73,5540.86,False
2025-08-02,Ago,Ajustado,Saturday,False,False,0.00,0.00,44573.80,41632.73,0.00,2297.88,0.00,8772.21,5831.15,False
2025-08-03,Ago,Ajustado,Sunday,False,False,0.00,0.00,20237.35,13772.18,0.00,1970.92,0.00,6465.17,0.00,False
2025-08-13,Ago,Ajustado,Wednesday,True,True,5582.77,269.30,24587.06,14342.00,1912.12,2364.85,95.61,10245.06,0.00,False
2025-08-14,Ago,Ajustado,Thursday,True,True,5744.64,277.10,36000.07,34528.59,1962.30,2381.99,98.11,6784.95,5313.47,False
2025-08-15,Ago,Ajustado,Friday,True,True,5701.60,275.03,36019.32,30747.77,1940.34,2414.70,97.02,10739.09,5467.54,False
2025-08-16,Ago,Ajustado,Saturday,False,False,0.00,0.00,42100.68,41166.39,0.00,2446.90,0.00,6360.86,5426.57,False
2025-08-17,Ago,Ajustado,Sunday,False,False,0.00,0.00,39301.36,28846.16,0.00,2418.86,0.00,10455.19,0.00,False
2025-08-18,Ago,Ajustado,Monday,True,True,5599.46,270.10,34652.20,23740.90,1925.19,2297.88,96.26,10911.31,0.00,False
2025-08-19,Ago,Ajustado,Tuesday,True,True,5613.16,270.76,35172.58,29523.27,1899.05,2397.05,94.95,10978.67,5329.36,False
2025-08-20,Ago,Ajustado,Wednesday,True,True,5658.03,272.93,34767.25,29679.71,1929.37,2394.97,96.47,10429.93,5342.40,False
2025-08-21,Ago,Ajustado,Thursday,True,True,5688.55,274.40,37668.99,32305.40,1936.16,2384.07,96.81,10748.69,5385.10,False
