Dia,Consumo_kWh,Demanda_Max_kW,N_leituras,Mes,Tipo,MesOrdem
2025-07-09,434.9232208798492,330.36798417063915,2,Jul,Ajustado (delta),8
2025-07-10,12913.684263843228,595.2157843828329,24,Jul,Ajustado (delta),8
2025-07-11,20995.024792607706,616.3669396289696,40,Jul,Ajustado (delta),8
2025-07-12,20655.661146134054,607.1538597364807,40,Jul,Ajustado (delta),8
2025-07-13,17637.533386011382,572.1200924641298,40,Jul,Ajustado (delta),8
2025-07-14,18754.362885559687,555.6717686403638,40,Jul,Ajustado (delta),8
2025-07-15,19939.19673214312,590.933648658155,40,Jul,Ajustado (delta),8
2025-07-16,20026.351399909436,589.2467467060092,40,Jul,Ajustado (delta),8
2025-07-17,19010.623584203764,592.4907889216743,40,Jul,Ajustado (delta),8
2025-07-18,20291.063315266114,602.2229155686696,40,Jul,Ajustado (delta),8
2025-07-19,19955.332978574083,600.6657753051504,40,Jul,Ajustado (delta),8
2025-07-20,17507.802284174635,598.459826598498,40,Jul,Ajustado (delta),8
2025-07-21,19975.418799233517,597.4217330894853,40,Jul,Ajustado (delta),8
2025-07-22,20198.003606929866,594.1776908738202,40,Jul,Ajustado (delta),8
2025-07-23,20775.5264020169,608.1919532454934,40,Jul,Ajustado (delta),8
2025-07-24,20688.668914992144,624.9312110783255,40,Jul,Ajustado (delta),8
2025-07-25,19699.499658672976,610.3979019521458,40,Jul,Ajustado (delta),8
2025-07-26,17989.9631626596,572.6301180090528,40,Jul,Ajustado (delta),8
2025-07-27,17881.070583712106,554.6517175505179,40,Jul,Ajustado (delta),8
2025-07-28,19621.66132470121,566.7648242424385,40,Jul,Ajustado (delta),8
2025-07-29,20453.21869430812,608.1919532454934,40,Jul,Ajustado (delta),8
2025-07-30,20819.122061276586,613.641944167811,40,Jul,Ajustado (delta),8
2025-07-31,20206.814983807068,590.933648658155,40,Jul,Ajustado (delta),8
2025-08-01,20486.3771206353,604.9479110298283,40,Ago,Ajustado (delta),9
2025-08-02,20598.741699834183,575.3077521198984,40,Ago,Ajustado (delta),9
2025-08-03,7836.135539858807,424.4676972089282,24,Ago,Ajustado (delta),9
2025-08-13,18796.768310866057,590.933648658155,38,Ago,Ajustado (delta),9
2025-08-14,20434.49145456995,595.2157843828329,40,Ago,Ajustado (delta),9
2025-08-15,19976.564625821182,603.3907707663092,40,Ago,Ajustado (delta),9
2025-08-16,20192.249535794213,611.4359954611585,40,Ago,Ajustado (delta),9
2025-08-17,18030.232151726643,604.4288642753219,40,Ago,Ajustado (delta),9
2025-08-18,19456.411985592946,575.3077521198984,40,Ago,Ajustado (delta),9
2025-08-19,19976.255446349114,598.9788733530045,40,Ago,Ajustado (delta),9
2025-08-20,20009.318946931835,598.459826598498,40,Ago,Ajustado (delta),9
2025-08-21,19594.734394854273,595.7348311373394,40,Ago,Ajustado (delta),9
2025-08-22,20462.114371050044,603.9098175208155,40,Ago,Ajustado (delta),9
2025-08-23,20727.292361269436,618.4431266469953,40,Ago,Ajustado (delta),9
2025-08-24,17204.649204758007,572.6301180090528,40,Ago,Ajustado (delta),9
2025-08-25,19865.506930059764,596.2538778918458,40,Ago,Ajustado (delta),9
2025-08-26,20023.305378774836,575.3077521198984,40,Ago,Ajustado (delta),9
2025-08-27,20288.167804904784,595.7348311373394,40,Ago,Ajustado (delta),9
2025-08-28,19776.531477432665,600.146728550644,40,Ago,Ajustado (delta),9
2025-08-29,20490.50513770808,598.9788733530045,40,Ago,Ajustado (delta),9
2025-08-30,20417.62255186179,617.9240798924889,40,Ago,Ajustado (delta),9
2025-08-31,18560.443934471637,613.1228974133045,40,Ago,Ajustado (delta),9
2025-09-01,20633.933462433866,596.6013186204327,40,Set,Ajustado (delta),10
2025-09-02,20160.629756745348,579.515462865513,40,Set,Ajustado (delta),10
2025-09-03,20364.257455555846,594.943735599433,40,Set,Ajustado (delta),10
2025-09-04,20018.205123325606,576.9653351408981,40,Set,Ajustado (delta),10
2025-09-05,20241.723818388098,598.6414208001246,40,Set,Ajustado (delta),10
2025-09-06,20843.229955941188,619.6109818446348,40,Set,Ajustado (delta),10
2025-09-07,15365.167576990902,700.7120372362631,40,Set,Ajustado (delta),10
2025-09-08,23430.291283230745,795.8262736521594,40,Set,Ajustado (delta),10
2025-09-09,20364.384961942076,587.5483651980497,40,Set,Ajustado (delta),10
2025-09-10,20379.17782785128,602.4666123870469,40,Set,Ajustado (delta),10
2025-09-11,21112.082410799158,599.2789527312783,40,Set,Ajustado (delta),10
2025-09-12,20043.242254241737,719.0084353326143,40,Set,Ajustado (delta),10
2025-09-13,21950.208315724856,803.3524515925026,40,Set,Ajustado (delta),10
2025-09-14,17429.017519443532,813.0845782394979,40,Set,Ajustado (delta),10
2025-09-15,21881.455945315465,584.3607055422812,40,Set,Ajustado (delta),10
2025-09-16,23607.66746387528,708.2382151766061,40,Set,Ajustado (delta),10
2025-09-17,19124.070232140297,699.5441820386236,40,Set,Ajustado (delta),10
2025-09-18,23855.144902703258,713.6882060989236,40,Set,Ajustado (delta),10
2025-09-19,21981.354330881168,735.22864641094,40,Set,Ajustado (delta),10
2025-09-20,24418.76785460125,738.4726886266051,40,Set,Ajustado (delta),10
2025-09-21,18725.800392490783,590.7360248538183,40,Set,Ajustado (delta),10
2025-09-22,20400.469269245375,602.4666123870469,40,Set,Ajustado (delta),10
2025-09-23,20538.43117914704,604.5067145667388,40,Set,Ajustado (delta),10
2025-09-24,20639.54374342802,598.1313952552016,40,Set,Ajustado (delta),10
2025-09-25,20845.849076349365,603.4866634768928,40,Set,Ajustado (delta),10
2025-09-26,21837.252680674257,639.0752351386255,40,Set,Ajustado (delta),10
2025-09-27,21941.136373350102,620.6490753536475,40,Set,Ajustado (delta),10
2025-09-28,19213.411974914652,627.1371597849778,40,Set,Ajustado (delta),10
2025-09-29,20843.86748787234,619.6109818446348,40,Set,Ajustado (delta),10
2025-09-30,21427.163948359583,631.4192955096559,40,Set,Ajustado (delta),10
2025-10-01,21552.33787126142,681.2477839422722,40,Out,Ajustado (delta),11
2025-10-02,23444.318203605748,660.615675450642,40,Out,Ajustado (delta),11
